branch_id,latitude,longitude,districtName,branchName,GTV2024,AOV2024,Bill2024,total_revenue,total_qty,transaction_count,performance_score,Category,dist_to_sudirman_cbd,dist_to_blok_m,dist_to_pondok_indah,dist_to_kemang,dist_to_senayan,dist_to_nearest_landmark,competitors_0.5km,same_category_competitors_0.5km,competitor_revenue_0.5km,competition_intensity_0.5km,competitors_1.0km,same_category_competitors_1.0km,competitor_revenue_1.0km,competition_intensity_1.0km,competitors_2.0km,same_category_competitors_2.0km,competitor_revenue_2.0km,competition_intensity_2.0km
177,-6.21465276,106.82091144,Setia Budi,Nasi Kapau Juragan WTC,3051474531.0,87880.49796965,34723.0,750943024.6,35182.0,6304,0.4332737870930901,Alcoholic Beverages,3.3162435805308204,4.102235126697612,8.267562452938142,7.730524044027463,2.827806084145987,2.827806084145987,4,1,12205898124.0,2441179624.8,11,2,33566219841.0,2797184986.75,43,6,101665763313.93001,2310585529.862046
253,-6.24060142,106.85546635,Tebet,ADORESTO,165329450.0,62083.90912505,2663.0,125557000.0,4198.0,2230,0.0360892262000851,Comfort Food,7.176120939577045,6.424289465655643,10.281945866370974,8.248666600507091,6.526522597557466,6.424289465655643,2,0,330658900.0,110219633.33333333,5,1,826647250.0,137774541.66666666,9,1,1487965050.0,148796505.0
282,-6.25165608,106.79778522,Kebayoran Baru,548 Coffee,631796986.63,405517.96317715,1558.0,280686945.0,7252.0,4578,0.1876772453209856,Coffee and Hot Beverages,3.0492863587769734,0.9138695571745143,3.8367825272308145,2.985700329405477,2.7921493109404665,0.9138695571745143,4,0,2527187946.52,505437589.304,15,3,9476954799.449999,592309674.9656249,37,4,17130449665.74999,450801306.9934208
418,-6.23418852,106.79471049,Kebayoran Baru,Amuya Coffee - YPAC,631796986.63,405517.96317715,1558.0,160351450.0021,9478.0,5250,0.18791924772208077,Other Beverages,1.0883773194511945,1.06360319401089,4.684960751757057,4.835447168549963,0.9437284479935494,0.9437284479935494,0,0,0.0,0.0,1,0,631796986.63,315898493.315,34,0,21481097545.419994,613745644.154857
513,-6.272359,106.8436954,Pasar Minggu,AMY AND CAKE PEJATEN,30594000.0,63870.56367432,479.0,1336128855.0,3923.0,792,0.02172588077298255,Others,7.737106243997088,6.034169451091091,8.649227732708432,5.880918737586891,7.151399295384287,5.880918737586891,1,1,30594000.0,15297000.0,2,1,61188000.0,20396000.0,6,3,534436000.0,76348000.0
515,-6.25789844,106.81577597,Mampang Prapatan,AMY AND CAKE KEMANG,120286000.0,23158.64458991,5194.0,1608714622.0,14304.0,8004,0.04343468272962703,Cake and Desserts,4.488329900052839,2.5826583533655434,5.582053209331967,3.5269626026443683,3.9873165429842863,2.5826583533655434,6,0,721716000.0,103102285.71428572,11,0,1323146000.0,110262166.66666667,22,0,5006247933.150001,217662953.61521742
516,-6.30724024,106.78145756,Cilandak,AMY AND CAKE LEBAK BULUS,84317000.0,39035.64814815,2160.0,2619276215.5,32515.0,20741,0.058959648143304844,Cake and Desserts,9.225636177902148,7.27942450805367,4.959596900451867,3.4229723412331827,9.129110996120621,3.4229723412331827,0,0,0.0,0.0,0,0,0.0,0.0,10,0,843170000.0,76651818.18181819
581,-6.27960959,106.80720995,Cilandak,WBC Antasari,84317000.0,39035.64814815,2160.0,832395200.0203,66269.0,24773,0.0544122343933126,Other Beverages,6.296949339533094,4.1467431897335665,4.845157436236017,1.8250969236148322,5.966539817654355,1.8250969236148322,1,0,84317000.0,42158500.0,5,0,421585000.0,70264166.66666667,21,1,2228905986.63,101313908.48318182
582,-6.30397,106.843384,Jagakarsa,WBC Simatupang,36182000.0,20675.42857143,1750.0,343118909.0828,26736.0,11032,0.02128530771276947,Other Beverages,10.423211153869046,8.406606116318475,9.590201145326654,6.4993081104373305,9.926809778748842,6.4993081104373305,2,0,72364000.0,24121333.333333332,3,0,102958000.0,25739500.0,3,0,102958000.0,25739500.0
601,-6.2262195,106.8261671,Setia Budi,Alba Ristorante - Kuningan,3051474531.0,87880.49796965,34723.0,3467697640.0,43028.0,14996,0.46047923569177174,Alcoholic Beverages,3.715760496831753,3.699521606680981,7.944395887866794,6.910865894538706,3.0927564033911135,3.0927564033911135,11,2,33566219841.0,2797184986.75,25,4,68516319655.259995,2635243063.663846,61,6,105018074050.56003,1693839904.0412908
614,-6.2244883,106.8102729,Kebayoran Baru,Sour Sally Pacific Place,631796986.63,405517.96317715,1558.0,4029925640.1544,239680.0,29680,0.24316496782238925,Others,1.9523293047658845,2.5252379122015056,6.664695409718995,6.2700108901981855,1.3505702273284967,1.3505702273284967,7,0,4422578906.41,552822363.30125,13,0,13052715914.929995,932336851.0664282,46,10,88531578020.97,1883650596.190851
659,-6.23631064,106.8468581,Tebet,BAKMI ASUAN,165329450.0,62083.90912505,2663.0,114758800.0,3262.0,1680,0.0352754393350289,Thai Appetizers and Salads,6.139907214964975,5.520164304395391,9.51531635706225,7.709888004652315,5.492645020693682,5.492645020693682,0,0,0.0,0.0,5,1,826647250.0,137774541.66666666,26,6,7139667331.0,264432123.37037036
835,-6.2440436,106.7976307,Kebayoran Baru,BBS Bungeoppang - Blok M,631796986.63,405517.96317715,1558.0,313320000.0,25060.0,7994,0.19253760399161288,Cake and Desserts,2.2235528756626017,0.07329281782440437,4.222573121389992,3.8018144200882267,1.950982741109661,0.07329281782440437,9,0,5686172879.67,568617287.967,16,0,10108751786.079998,594632458.0047058,28,0,17690315625.639988,610010883.6427583
